year,value,category,variable,model,scenario,region,unit
2080,73806606440.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2100,56489788180.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2020,2204295410460.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2040,3593051154000.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2060,3334347433780.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2080,2471562119680.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2100,2580773460470.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2020,773432270130.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2040,1356939078800.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2060,591670176270.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2080,103293211840.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2100,119929916440.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2020,241699847690.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2040,591700089750.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2060,719397652130.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2080,546012851550.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2100,655763373980.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2020,206587933380.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2040,351655820920.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2060,296733749400.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2080,78246066600.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2100,233449186210.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Latin America,$ 2010/local currency per year
2020,63681148080.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2040,52357628800.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2060,11951205200.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2080,8962831620.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2100,8911018020.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2020,918905188720.00,Revenue,Oil,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
