year,value,model,scenario,region,variable
2070,-2.5498,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2070,-0.5495,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2070,-1.3904,IMAGE 3.0.1,NPi2020_1000,World,Oil
2070,-0.2352,IMAGE 3.0.1,NPi2020_400,World,Oil
2070,-0.3632,IMAGE 3.0.1,NPi,World,Oil
2070,-2.6369,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2070,-2.19,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2070,-1.4685,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2080,2.9393,AIM/CGE 2.1,NPi,World,Coal
2080,0.9391,AIM/CGE 2.1,NPi2020_1000,World,Coal
2080,-0.1049,AIM/CGE 2.1,NPi2020_400,World,Coal
2080,4.9065,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2080,-4.1774,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2080,-0.2856,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2080,-0.6807,WITCH-GLOBIOM 4.4,NPi,World,Coal
2080,-0.1357,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2080,-0.0443,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2080,1.2534,IMAGE 3.0.1,NPi2020_1000,World,Coal
2080,2.1407,IMAGE 3.0.1,NPi2020_400,World,Coal
2080,5.5712,IMAGE 3.0.1,NPi,World,Coal
2080,-0.3532,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2080,-0.1757,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2080,-0.0292,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2080,0.3858,AIM/CGE 2.1,NPi,World,Gas
2080,0.5601,AIM/CGE 2.1,NPi2020_1000,World,Gas
2080,0.0242,AIM/CGE 2.1,NPi2020_400,World,Gas
2080,0.6511,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2080,-4.1508,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2080,-1.1153,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
