year,value,model,scenario,region,variable
2040,10.72764,IMAGE 3.0.1,NPi,World,Oil
2050,8.611801,IMAGE 3.0.1,NPi,World,Coal
2050,7.898973,IMAGE 3.0.1,NPi,World,Gas
2050,9.873746,IMAGE 3.0.1,NPi,World,Oil
2060,14.11212,IMAGE 3.0.1,NPi,World,Coal
2060,4.436262,IMAGE 3.0.1,NPi,World,Gas
2060,8.246482,IMAGE 3.0.1,NPi,World,Oil
2070,22.24321,IMAGE 3.0.1,NPi,World,Coal
2070,4.386658,IMAGE 3.0.1,NPi,World,Gas
2070,-2.031,IMAGE 3.0.1,NPi,World,Oil
2080,29.30137,IMAGE 3.0.1,NPi,World,Coal
2080,-8.78407,IMAGE 3.0.1,NPi,World,Gas
2080,-2.57678,IMAGE 3.0.1,NPi,World,Oil
2090,35.6006,IMAGE 3.0.1,NPi,World,Coal
2090,-18.3128,IMAGE 3.0.1,NPi,World,Gas
2090,-4.31588,IMAGE 3.0.1,NPi,World,Oil
2010,11.49674,IMAGE 3.0.1,NPi2020_1000,World,Coal
2010,22.1901,IMAGE 3.0.1,NPi2020_1000,World,Gas
2010,-5.13715,IMAGE 3.0.1,NPi2020_1000,World,Oil
2020,-25.4064,IMAGE 3.0.1,NPi2020_1000,World,Coal
2020,-5.47843,IMAGE 3.0.1,NPi2020_1000,World,Gas
2020,-22.5651,IMAGE 3.0.1,NPi2020_1000,World,Oil
2030,-28.5352,IMAGE 3.0.1,NPi2020_1000,World,Coal
2030,-4.23763,IMAGE 3.0.1,NPi2020_1000,World,Gas
2030,-22.0911,IMAGE 3.0.1,NPi2020_1000,World,Oil
2040,-10.969,IMAGE 3.0.1,NPi2020_1000,World,Coal
2040,-5.25743,IMAGE 3.0.1,NPi2020_1000,World,Gas
2040,-6.64213,IMAGE 3.0.1,NPi2020_1000,World,Oil
2050,1.454759,IMAGE 3.0.1,NPi2020_1000,World,Coal
2050,-11.0105,IMAGE 3.0.1,NPi2020_1000,World,Gas
2050,-1.7012,IMAGE 3.0.1,NPi2020_1000,World,Oil
2060,6.921795,IMAGE 3.0.1,NPi2020_1000,World,Coal
2060,6.588766,IMAGE 3.0.1,NPi2020_1000,World,Gas
2060,-10.8557,IMAGE 3.0.1,NPi2020_1000,World,Oil
2070,13.63938,IMAGE 3.0.1,NPi2020_1000,World,Coal
2070,4.530707,IMAGE 3.0.1,NPi2020_1000,World,Gas
2070,-7.7731,IMAGE 3.0.1,NPi2020_1000,World,Oil
2080,6.735853,IMAGE 3.0.1,NPi2020_1000,World,Coal
2080,-9.58025,IMAGE 3.0.1,NPi2020_1000,World,Gas
2080,-2.78074,IMAGE 3.0.1,NPi2020_1000,World,Oil
2090,3.710254,IMAGE 3.0.1,NPi2020_1000,World,Coal
2090,-7.23626,IMAGE 3.0.1,NPi2020_1000,World,Gas
2090,-0.59819,IMAGE 3.0.1,NPi2020_1000,World,Oil
